Start Date,End Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Tag,,,,,,,,,,,,,,,,,,,,
6/14/2011 0:00:00,,The Arab League condemns the Syrian government's violent crackdown on protestors for the first time.,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2011 0:00:00,,Rami Makhlouf publicly resigns,"Syria's richest businessman and cousin of Assad says he made the move ""to do charity work"". Makhlouf's businesses had been attacked in protests.",,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2011 0:00:00,,President Assad gives his third major speech since the protests started.,"He offers to extend amnesty to protestors but warns of ""saboteurs"" in the country. He blames ""vandals"", ""radical and blasphemous individuals"", and ""foreign conspiracies"" for the unrest. The Turkish government sends an envoy to Damascus to relay a message that the Syrian government must remove Maher Assad.",,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2011 0:00:00,,"Syrian officials announce a ""national dialogue"" that is meant to help transition the country to a multiparty democracy.","Opposition leaders, seeing it as a way to mask the government's crackdown on protests, boycott the talks.",,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2011 0:00:00,,US Secretary of State Hillary Clinton condemns the current regime and the attacks on the US embassy in Damascus.,"She states Assad has ""lost legitimacy"" and that ""President Assad is not indispensable and we have absolutely nothing invested in him remaining in power.""",,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2011 0:00:00,,"136 are reportedly killed in Hama, Dier ez-Zor, Harak, and Abu Kamal.",it is the bloodiest day of the uprising to date as a result of crackdown by the Syrian military.,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2011 0:00:00,,"Saudi Arabia, Kuwait, and Bahrain recall their ambassadors to Syria.",King Abdullah of Saudi Arabia publicly condemns the regime's violent crackdown.,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2011 0:00:00,,"The US and leaders of France, Germany, and the UK call for the resignation of Assad for the first time.",The government of Canada follows suit. Switzerland also recalls its ambassador and condemns the violence.,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2011 0:00:00,,Syrian dissidents in Turkey announce they have formed the Syrian National Council.,"The group is meant to ""represent the concerns and demands of the Syrian people.""",,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2011 0:00:00,,Prominent political cartoonist Ali Ferzat is reportedly attacked by pro-regime assailants.,He is beaten and later released near Damascus International Airport.,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2011 0:00:00,,The European Union adopts a ban on imports of Syrian oil.,"The move will legally go into effect on September 3rd, but most contracts will end November 30th.",,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/2011 0:00:00,,"Ambassadors from the US, France, Germany, Canada, Japan, the UK, and the EU participate in a vigil to show solidarity with the protest movement.","The vigil is held for a prominent human rights activist, Ghiyath Mattar, who is believed to be killed by Syrian security forces.",,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2011 0:00:00,,"Turkey's prime minister, Recap Tayyip Erdogan, says his country has cut off contacts with Syria.",He also announces that Turkey is considering imposing sanctions on Syria.,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2011 0:00:00,,China and Russia veto a measure that calls for possibility of sanctions against Syria at the UN.,"Hours later, Turkey threatens unilateral sanctions against its neighbor.",,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2011 0:00:00,,Bab Amr is attacked by tanks and artillery.,"The attack on the Homs neighborhood resulted in several casualties, and was prompted by the defection of 90 soldiers in the area.",,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2011 0:00:00,,"Attacks on embassies and consulates of Qatar, Saudi Arabia, Turkey, and France occur in Damascus.",The mass protests occur after an announcement by the Arab League that it will suspend Syria over the government's violent crackdown.,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2011 0:00:00,,Assad loyalists attack the Jordanian embassy in Damascus.,They were prompted by calls by King Abdullah II for Bashar Assad to step down.,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2011 0:00:00,,The Arab League announces it will impose sanctions on Syria.,"Measures include restricting business between Arab countries and the Syrian Central Bank, any trade exchange with the government, as well as banning travel of any Syrian officials.",,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2011 0:00:00,,"The UN calls the situation in Syria a ""civil war"" as the death toll reportedly reaches over 4,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2011 0:00:00,,ABC airs an interview with Bashar Assad and veteran journalist Barbara Walters.,"In the interview, Assad says he does not feel guilty or remorseful because he is trying to ""protect the Syrian people"".",,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/2011 0:00:00,,"The UN raises the Syrian death toll to approximately 5,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/2011 0:00:00,,"Syrian oil production falls 30-35 percent as a result of foreign sanctions, according to Syrian Oil Minister Sufian Allaw.",,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2011 0:00:00,,The largest protests thus far take place across Syria.,"An estimated 500,000 people participate in protests held four days after 50 Arab League monitors arrive in the country.",,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2012 0:00:00,,"French President Nicolas Sarkozy accuses Assad of committing ""massacres"" in Syria and calls on him to step down.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2012 0:00:00,,"General Mustafa Ahmad al-Sheikh, second in command in northern Syria, defects to join the FSA.",He is the highest-ranking person to defect thus far.,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2012 0:00:00,,A student protest at Aleppo University leads security forces to raid the campus.,The city had thus far remained mostly immune to protests.,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2012 0:00:00,,"The Syrian army uses tanks, mortars, and machine guns in a major offensive in Homs, according to activists.",The death toll reportedly nears 400 after six days of attacks. Observors claim that forces invaded hospitals to kill the injured.,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/2012 0:00:00,,The US closes its embassy and withdraws staff from Syria amid mounting violence.,The UK also recalls its ambassador to the country.,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2012 0:00:00,,Two car bombs hit Aleppo.,"A security building and the Military Intelligence Directorate are attacked, according to state TV. The death toll is reported at approximately 28 people, with over 200 injured. Meanwhile, supporters and opponents of Assad clash in Tripoli, Lebanon.",,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2012 0:00:00,,"Ayman al-Zawahiri, the leader of Al Qaeda, calls Muslims worldwide to help the Syrian rebels overthrow Assad.","In a similar move, the Muslim Brotherhood in Jordan urges jihad against the Syrian president.",,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2012 0:00:00,,The UN General Assembly votes in favor of a non-binding resolution that calls for the resignation of Bashar Assad and a stop to the violence in Syria.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2012 0:00:00,,Former UN Secretary General Kofi Annan is appointed special envoy to Syria in hopes of findng a solution to the violence.,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2012 0:00:00,,Demonstrators hold protests across Syria to mark the one-year anniversary of the uprising.,"Protestors face crackdown in Homs, Idlib, and Daraa. Meanwhile, Assad supporters hold their own rallies in Damascus and the Druze city of Sweida.",,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2012 0:00:00,,The ceasefire brokered by Kofi Annan comes into effect.,The UN later observes that the ceasefire is violated by the government and opposition.,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2012 0:00:00,,"As thousands pour into the streets for a weekly protest, a suicide bomber blows himself up in Damascus, reportedly killing nine people.",,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2012 0:00:00,,"In response to protests numbering up to 1,500 student at Aleppo University, security forces raid the main campus and arrest nearly 200 students.",,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2012 0:00:00,,Security forces shoot and kill protestors during the weekly protest.,They are also the biggest demonstrations in Aleppo since the start of the uprising.,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2012 0:00:00,,"Al Sahaba Brigade, closely linked to the FSA, claims to have poisoned top Syrian officials.",Among the officials they name are Interior Minister Mohammad Ibrahim Shaar and Defense Minister Dawud Rajih. Shaar denies the assassination in a telephone call that was aired on a state-run TV channel.,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2012 0:00:00,,"Major General Robert Mood, head of UNTSO, confirms that a government attack on Houla left 90 civilians dead, including 32 children.","He calls the killings ""indiscriminate and unforgiveable"".",,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2012 0:00:00,,Shopkeepers across Damascus close their shops and stage a strike against the government.,Some analysts say this suggests that the historical alliance between business and government has weakened.,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2012 0:00:00,,"The head of the UN Department of Peacekeeping Operations, Herve Ladsous, calls the situation in Syria a full-scale civil war.",,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2012 0:00:00,,"UN observers enter the town of Haffa after a major offensive by Assad's forces and are met with the ""stench of death"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2012 0:00:00,,UN observers suspend monitoring activities in Syria as escalating violence impedes their work.,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2012 0:00:00,,An unidentified Russian navy official says that two Russian warships are headed to Syria.,Each can carry up to 150 marines and a dozen tanks.,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2012 0:00:00,,"Manaf Tlass, a brigade commander in the Republican Guard and reportedly a close friend to Assad, defects to Turkey.","Tlass is the son of the former defense minister, Mustafa Tlass.",,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2012 0:00:00,,"Nawaf al-Fares, the Syrian ambassador to Iraq, defects in opposition to Assad's repression.",He is the most senior officer to defect.,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2012 0:00:00,,"Syria starts to move chemical weapons out of storage, according to US officials.",,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2012 0:00:00,,A bomb explosion at a National Security Building in Damascus kills top Syrian officials.,"Those killed include Defense Minister General Daoud Rajha, Security Advisor Hassan Turkmani, and Deputy Defense Minister and Assad's brother-in-law, Assef Shawkat. Members of the opposition claim responsibility for the attack.",,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2012 0:00:00,,"The Kurdish Popular Defense Committee peacefully takes over the Kurdish city of Kobani, or Ayn al-Arab, after the Syrian military pulls out.","Rebels take control of Azaz, near the border along Turkey. Meanwhile, any action from the UN is held up as Russia and China, for the third time, veto a UN Security Council resolution that would pressure Assad to halt the conflict.",,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2012 0:00:00,,"The FSA enters Aleppo and clashes with government forces in the city for the first time, causing residents to flee.",,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2012 0:00:00,,"Lamia al-Hariri, Syrian ambassador to Cyprus, defects.","She is the third ambassador to do so, but her defection is a particular blow to the regime as she is the niece of Vice President Farouk al-Sharaa. Her husband and Syrian ambassador to the UAE, Abdelatif al-Dabbagh, also defects soon after.",,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2012 0:00:00,,"Farouq Taha, Syrian ambassador to Belarus and the Baltic states, announces he has defected to the opposition.",,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2012 0:00:00,,A video shows rebels publicly executing four Assad loyalists in Aleppo.,Human Rights Watch calls the execution a potential war crime.,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2012 0:00:00,,Kofi Annan announces he is quitting as UN special envoy to Syria.,"He cites ""disunity of the international community"" as a reason for his decision.",,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2012 0:00:00,,"Riyad Farid Hijab, Syria's prime minister, defects to Jordan with his family.",His move suggests Assad's inner core is weakening.,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2012 0:00:00,,"Lakhdar Brahimi, a veteran Algerian diplomat, is appointed as the new UN-Arab League envoy to Syria.",,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/2012 0:00:00,,"The Syrian government targets civilians and strikes bakeries in Aleppo as people wait in line for bread, according to Human Rights Watch.",,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2012 0:00:00,,"Mohammad Ali Jafari, commander of Iran's Revolutionary Guard, confirms the Quds Force has members in Syria.","He says they are present to offer ""intellectual and advisory help"" to the Syrian government.",,,,,,,,,,,,,,,,,,,,,,,,,,
